Feature ID,Chemical Name,Ionization Mode,DTXCID,Correct SSM structure,Number of candidate structures for feature,Chemical metadata score,MS2 score (pos),MS2 score (neg),Hazard score,Chemical metadata rank,MS2 rank (pos),MS2 rank (neg),Hazard rank
247,amphetamine,ESI+,DTXCID10746285,FALSE,158,0.01,0.53,,1.50,133,136,,28
247,amphetamine,ESI+,DTXCID10790905,FALSE,158,0.00,0.48,,1.50,140,144,,28
247,amphetamine,ESI+,DTXCID10813628,FALSE,158,0.03,0.60,,3.00,71,124,,11
247,amphetamine,ESI+,DTXCID1085944,FALSE,158,0.06,1.05,,2.00,45,25,,24
247,amphetamine,ESI+,DTXCID10937050,FALSE,158,0.01,0.91,,1.50,121,46,,28
247,amphetamine,ESI+,DTXCID1094064,FALSE,158,0.05,0.61,,1.67,59,121,,27
247,amphetamine,ESI+,DTXCID10974586,FALSE,158,0.01,0.84,,1.50,118,55,,28
247,amphetamine,ESI+,DTXCID10975573,FALSE,158,0.00,0.87,,1.50,140,53,,28
247,amphetamine,ESI+,DTXCID10976823,FALSE,158,0.00,0.42,,2.50,140,151,,17
247,amphetamine,ESI+,DTXCID201003514,FALSE,158,0.03,0.81,,1.50,72,59,,28
247,amphetamine,ESI+,DTXCID20112896,FALSE,158,0.09,0.69,,2.50,39,85,,17
247,amphetamine,ESI+,DTXCID20129707,FALSE,158,0.14,0.89,,2.50,32,50,,17
247,amphetamine,ESI+,DTXCID20130651,FALSE,158,0.20,0.51,,1.50,26,140,,28
247,amphetamine,ESI+,DTXCID201310301,FALSE,158,0.00,0.88,,0.00,141,52,,30
247,amphetamine,ESI+,DTXCID201334917,FALSE,158,0.01,0.47,,0.00,134,145,,30
247,amphetamine,ESI+,DTXCID20146232,FALSE,158,0.02,0.69,,1.50,93,82,,28
247,amphetamine,ESI+,DTXCID20161940,FALSE,158,0.05,0.62,,1.50,58,114,,28
247,amphetamine,ESI+,DTXCID20285574,FALSE,158,0.11,0.41,,1.50,34,152,,28
247,amphetamine,ESI+,DTXCID2030851,FALSE,158,0.38,1.04,,1.88,16,29,,26
247,amphetamine,ESI+,DTXCID20460743,FALSE,158,0.01,0.67,,1.50,112,94,,28
247,amphetamine,ESI+,DTXCID20460788,FALSE,158,0.01,0.60,,2.50,122,125,,17
247,amphetamine,ESI+,DTXCID20485471,FALSE,158,0.01,0.64,,2.50,123,106,,17
247,amphetamine,ESI+,DTXCID2048905,FALSE,158,0.28,1.01,,2.72,21,38,,14
247,amphetamine,ESI+,DTXCID20525003,FALSE,158,0.00,0.82,,1.50,138,56,,28
247,amphetamine,ESI+,DTXCID20548353,FALSE,158,0.01,1.07,,2.00,109,20,,24
247,amphetamine,ESI+,DTXCID20551701,FALSE,158,0.01,1.01,,2.00,126,36,,24
247,amphetamine,ESI+,DTXCID20567685,FALSE,158,0.02,0.63,,1.50,91,111,,28
247,amphetamine,ESI+,DTXCID20999088,FALSE,158,0.00,0.92,,2.00,137,44,,24
247,amphetamine,ESI+,DTXCID30100709,FALSE,158,0.08,0.69,,1.50,40,81,,28
247,amphetamine,ESI+,DTXCID301426933,FALSE,158,0.03,0.90,,1.00,80,47,,29
247,amphetamine,ESI+,DTXCID30149991,FALSE,158,0.11,0.62,,2.00,35,112,,24
247,amphetamine,ESI+,DTXCID3023847,FALSE,158,0.86,1.01,,4.32,7,37,,6
247,amphetamine,ESI+,DTXCID30441487,FALSE,158,0.02,0.62,,1.50,92,115,,28
247,amphetamine,ESI+,DTXCID30477362,FALSE,158,0.01,0.79,,2.50,103,61,,17
247,amphetamine,ESI+,DTXCID30514362,FALSE,158,0.02,0.66,,1.50,102,100,,28
247,amphetamine,ESI+,DTXCID30546148,FALSE,158,0.01,0.71,,2.00,128,77,,24
247,amphetamine,ESI+,DTXCID30822030,FALSE,158,0.03,1.18,,2.50,76,5,,17
247,amphetamine,ESI+,DTXCID30835463,FALSE,158,0.79,1.20,,2.00,8,4,,24
247,amphetamine,ESI+,DTXCID30879428,FALSE,158,0.06,0.51,,1.50,48,139,,28
247,amphetamine,ESI+,DTXCID3093739,FALSE,158,0.19,1.04,,2.33,29,28,,20
