Feature ID,Chemical Name,Ionization Mode,DTXCID,Number of candidate structures for feature,Chemical metadata score,Correct SSM structure,Hazard score,MS2 score (neg),MS2 score (pos),Chemical metadata rank,Hazard rank,MS2 rank (pos),MS2 rank (neg),Sources,Patents,Articles,PubMed Record Count,AMOS methods count,AMOS fact sheets count,AMOS spectra count,Presence in water lists count,Sources_norm,Patents_norm,Articles_norm,PubMed Record Count_norm,AMOS methods count_norm,AMOS fact sheets count_norm,AMOS spectra count_norm,Presence in water lists count_norm
247,amphetamine,ESI+,DTXCID10442154,158,0.0123702222982791,False,2.5,,1.0643854704,110,17,22,,3,101,2,0,0,0,0,0,0.0117647058823529,0.00058563965186332,1.98767640628106e-05,0,0,0,0,0
247,amphetamine,ESI+,DTXCID1048837,158,0.101724000243867,False,2.2,,1.1015446402,37,22,11,,11,517,2,1,0,0,7,0,0.0431372549019608,0.00299777920805284,1.98767640628106e-05,1.35338142348658e-05,0,0,0.0555555555555556,0
247,amphetamine,ESI+,DTXCID1048912,158,0.0551889771959381,False,2.2,,1.066453417,53,22,21,,11,708,1,0,0,0,1,0,0.0431372549019608,0.00410527597543793,9.93838203140529e-06,0,0,0,0.00793650793650794,0
247,amphetamine,ESI+,DTXCID10510529,158,0.00856214039184307,False,2.5,,0.6123931603,125,17,117,,2,124,0,0,0,0,0,0,0.00784313725490196,0.000719003136941106,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID10554963,158,0.0125632283500617,False,2.5,,0.3797912294,106,17,155,,3,136,1,0,0,0,0,0,0.0117647058823529,0.000788584085677342,9.93838203140529e-06,0,0,0,0,0
247,amphetamine,ESI+,DTXCID10660538,158,0.00784893566729665,False,2,,0.3371821316,133,24,158,,2,1,0,0,0,0,0,0,0.00784313725490196,5.79841239468633e-06,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID10694297,158,0.00787792772927008,False,2,,0.6537491197,130,24,103,,2,6,0,0,0,0,0,0,0.00784313725490196,3.4790474368118e-05,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID1069615,158,0.0235592269108001,False,1.5,,0.4236157881,88,28,150,,6,0,3,0,0,0,0,0,0.0235294117647059,0,2.98151460942159e-05,0,0,0,0,0
247,amphetamine,ESI+,DTXCID10746285,158,0.00784893566729665,False,1.5,,0.5270871733,133,28,136,,2,1,0,0,0,0,0,0,0.00784313725490196,5.79841239468633e-06,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID10790905,158,0.00392156862745098,False,1.5,,0.477697019,140,28,144,,1,0,0,0,0,0,0,0,0.00392156862745098,0,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID10813628,158,0.0323814727762833,False,3,,0.5984462961,71,11,124,,8,174,0,0,0,0,0,0,0.0313725490196078,0.00100892375667542,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID1085944,158,0.0640931612941915,False,2,,1.0464498826,45,24,25,,9,4953,8,0,0,0,0,0,0.0352941176470588,0.0287195365908814,7.95070562512423e-05,0,0,0,0,0
247,amphetamine,ESI+,DTXCID10937050,158,0.0117647058823529,False,1.5,,0.9092877584,121,28,46,,3,0,0,0,0,0,0,0,0.0117647058823529,0,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID1094064,158,0.0504815722818596,False,1.66666666666667,,0.6052068424,59,27,121,,10,553,11,1,0,0,1,0,0.0392156862745098,0.00320652205426154,0.000109322202345458,1.35338142348658e-05,0,0,0.00793650793650794,0
247,amphetamine,ESI+,DTXCID10974586,158,0.0117978379139631,False,1.5,,0.8420701956,118,28,55,,3,4,1,0,0,0,0,0,0.0117647058823529,2.31936495787453e-05,9.93838203140529e-06,0,0,0,0,0
247,amphetamine,ESI+,DTXCID10975573,158,0.00392156862745098,False,1.5,,0.8659214648,140,28,53,,1,0,0,0,0,0,0,0,0.00392156862745098,0,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID10976823,158,0.00392156862745098,False,2.5,,0.4160380499,140,17,151,,1,0,0,0,0,0,0,0,0.00392156862745098,0,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID201003514,158,0.0316680287763907,False,1.5,,0.814355704,72,28,59,,6,28,4,0,0,0,1,0,0.0235294117647059,0.000162355547051217,3.97535281256211e-05,0,0,0,0.00793650793650794,0
247,amphetamine,ESI+,DTXCID20112896,158,0.0916423972579284,False,2.5,,0.6910192449,39,17,85,,9,135,1,0,0,0,7,0,0.0352941176470588,0.000782785673282655,9.93838203140529e-06,0,0,0,0.0555555555555556,0
247,amphetamine,ESI+,DTXCID20129707,158,0.137547666668203,False,2.5,,0.8882242057,32,17,50,,11,12141,19,1,0,0,3,0,0.0431372549019608,0.0703985248838868,0.0001888292585967,1.35338142348658e-05,0,0,0.0238095238095238,0
247,amphetamine,ESI+,DTXCID20130651,158,0.201910073113216,False,1.5,,0.5110159196,26,28,140,,14,7916,577,10,0,0,12,0,0.0549019607843137,0.045900232516337,0.00573444643212085,0.000135338142348658,0,0,0.0952380952380952,0
247,amphetamine,ESI+,DTXCID201310301,158,0,False,0,,0.8761316438,141,30,52,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID201334917,158,0.00784313725490196,False,0,,0.4684731205,134,30,145,,2,0,0,0,0,0,0,0,0.00784313725490196,0,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID20146232,158,0.0196625103756858,False,1.5,,0.6932418288,93,28,82,,5,6,2,0,0,0,0,0,0.0196078431372549,3.4790474368118e-05,1.98767640628106e-05,0,0,0,0,0
247,amphetamine,ESI+,DTXCID20161940,158,0.0508375299639844,False,1.5,,0.6177205824,58,28,114,,8,600,10,1,0,0,2,0,0.0313725490196078,0.0034790474368118,9.93838203140529e-05,1.35338142348658e-05,0,0,0.0158730158730159,0
247,amphetamine,ESI+,DTXCID20285574,158,0.110089855613134,False,1.5,,0.4137290381,34,28,152,,11,3324,6,0,0,0,6,0,0.0431372549019608,0.0192739227999374,5.96302921884317e-05,0,0,0,0.0476190476190476,0
247,amphetamine,ESI+,DTXCID2030851,158,0.38354964610803,False,1.875,,1.0370402653,16,26,29,,23,10743,84,5,0,0,29,0,0.0901960784313725,0.0622923443561153,0.000834824090638044,6.76690711743291e-05,0,0,0.23015873015873,0
247,amphetamine,ESI+,DTXCID20460743,158,0.0120115438139293,False,1.5,,0.6712110813,112,28,94,,3,34,5,0,0,0,0,0,0.0117647058823529,0.000197146021419335,4.96919101570264e-05,0,0,0,0,0
247,amphetamine,ESI+,DTXCID20460788,158,0.0103712450589852,False,2.5,,0.5978406571,122,17,125,,2,436,0,0,0,0,0,0,0.00784313725490196,0.00252810780408324,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID20485471,158,0.0101914942747499,False,2.5,,0.6446222103,123,17,106,,2,405,0,0,0,0,0,0,0.00784313725490196,0.00234835701984797,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID2048905,158,0.279270935319207,False,2.72,,1.0057282156,21,14,38,,20,1741,27,0,0,0,24,0,0.0784313725490196,0.0100950359791489,0.000268336314847943,0,0,0,0.19047619047619,0
247,amphetamine,ESI+,DTXCID20525003,158,0.00396215751421378,False,1.5,,0.8216685571,138,28,56,,1,7,0,0,0,0,0,0,0.00392156862745098,4.05888867628043e-05,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID20548353,158,0.0124555400414414,False,2,,1.0702542581,109,24,20,,3,114,3,0,0,0,0,0,0.0117647058823529,0.000661019012994242,2.98151460942159e-05,0,0,0,0,0
247,amphetamine,ESI+,DTXCID20551701,158,0.00830121183408218,False,2,,1.0138737417,126,24,36,,2,79,0,0,0,0,0,0,0.00784313725490196,0.00045807457918022,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID20567685,158,0.0199157550774643,False,1.5,,0.6291050163,91,28,111,,3,37,0,0,0,0,1,0,0.0117647058823529,0.000214541258603394,0,0,0,0,0.00793650793650794,0
247,amphetamine,ESI+,DTXCID20999088,158,0.00397955275139784,False,2,,0.9209487673,137,24,44,,1,10,0,0,0,0,0,0,0.00392156862745098,5.79841239468634e-05,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID30100709,158,0.0793761773002925,False,1.5,,0.6947640747,40,28,81,,10,79,2,0,0,0,5,0,0.0392156862745098,0.00045807457918022,1.98767640628106e-05,0,0,0,0.0396825396825397,0
247,amphetamine,ESI+,DTXCID301426933,158,0.0269101647374955,False,1,,0.8955437463,80,29,47,,6,579,1,1,0,0,0,0,0.0235294117647059,0.00335728077652339,9.93838203140529e-06,1.35338142348658e-05,0,0,0,0
247,amphetamine,ESI+,DTXCID30149991,158,0.109814532242295,False,2,,0.621803132,35,24,112,,13,562,2,0,0,0,7,0,0.0509803921568627,0.00325870776581372,1.98767640628106e-05,0,0,0,0.0555555555555556,0
