Feature ID,Chemical Name,Tracer DTXSID,Ionization Mode,Mass Error (PPM),Retention Time Difference,Total Detection Count,Total Detection Percentage,Max CV Across Samples,Mass,Retention Time,INPUT,DTXCID_INDIVIDUAL_COMPONENT,MONOISOTOPIC_MASS_INDIVIDUAL_COMPONENT,SMILES_INDIVIDUAL_COMPONENT,DTXSID,PREFERRED_NAME,CASRN,INCHIKEY,IUPAC_NAME,MOLECULAR_FORMULA,MONOISOTOPIC_MASS,EXPOCAST_MEDIAN_EXPOSURE_PREDICTION_MG/KG-BW/DAY,EXPOCAST,NHANES,DATA_SOURCES,TOXCAST_PERCENT_ACTIVE,TOXCAST_NUMBER_OF_ASSAYS/TOTAL,MASS_DIFFERENCE,FOUND_BY,Acute Mammalian Toxicity Oral_score,Acute Mammalian Toxicity Oral_authority,Acute Mammalian Toxicity Inhalation_score,Acute Mammalian Toxicity Inhalation_authority,Acute Mammalian Toxicity Dermal_score,Acute Mammalian Toxicity Dermal_authority,Carcinogenicity_score,Carcinogenicity_authority,Genotoxicity Mutagenicity_score,Genotoxicity Mutagenicity_authority,Endocrine Disruption_score,Endocrine Disruption_authority,Reproductive_score,Reproductive_authority,Developmental_score,Developmental_authority,Neurotoxicity Repeat Exposure_score,Neurotoxicity Repeat Exposure_authority,Neurotoxicity Single Exposure_score,Neurotoxicity Single Exposure_authority,Systemic Toxicity Repeat Exposure_score,Systemic Toxicity Repeat Exposure_authority,Systemic Toxicity Single Exposure_score,Systemic Toxicity Single Exposure_authority,Skin Sensitization_score,Skin Sensitization_authority,Skin Irritation_score,Skin Irritation_authority,Eye Irritation_score,Eye Irritation_authority,Acute Aquatic Toxicity_score,Acute Aquatic Toxicity_authority,Chronic Aquatic Toxicity_score,Chronic Aquatic Toxicity_authority,Persistence_score,Persistence_authority,Bioaccumulation_score,Bioaccumulation_authority,Exposure_score,Exposure_authority,SSM chemical
401,acetaminophen,DTXSID2020006,ESI+,2.6452487137,0.1574458,16,28.07,0.1645,151.0636996,3.0574458,151.0636996,DTXCID10101810,151.063328534,CC1=C(N)C=C(C=C1)C(O)=O,DTXSID30179319,3-Amino-p-toluic acid,2458-12-0,XKFIFYROMAAUDL-UHFFFAOYSA-N,3-Amino-4-methylbenzoic acid,C8H9NO2,151.063328534,2.93e-07,https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID30179319#exposure-predictions,,21,,,0.000371066,Monoisotopic Mass,I,QSAR Model,ND,,ND,,ND,,H,Screening,L,QSAR Model,ND,,I,QSAR Model,ND,,ND,,ND,,ND,,H,QSAR Model,ND,,ND,,VH,QSAR Model,ND,,ND,,I,QSAR Model,L,QSAR Model,False
401,acetaminophen,DTXSID2020006,ESI+,2.6452487137,0.1574458,16,28.07,0.1645,151.0636996,3.0574458,151.0636996,DTXCID80146470,151.063328534,CCC1=CC(=CC=C1)[N+]([O-])=O,DTXSID00223979,1-Ethyl-3-nitrobenzene,7369-50-8,RXAKLPGKSXJZEF-UHFFFAOYSA-N,1-Ethyl-3-nitrobenzene,C8H9NO2,151.063328534,2.59e-06,https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID00223979#exposure-predictions,,21,,,0.000371066,Monoisotopic Mass,M,QSAR Model,ND,,ND,,ND,,I,QSAR Model,L,QSAR Model,ND,,I,QSAR Model,ND,,ND,,ND,,ND,,ND,,ND,,ND,,I,QSAR Model,VH,QSAR Model,ND,,I,QSAR Model,M,QSAR Model,False
401,acetaminophen,DTXSID2020006,ESI+,2.6452487137,0.1574458,16,28.07,0.1645,151.0636996,3.0574458,151.0636996,DTXCID8065955,151.063328534,CC(=O)OCC1=CC=CC=N1,DTXSID80143464,"2-Pyridinemethanol, acetate (ester)",1007-49-4,KEYZUMLVDCHSTP-UHFFFAOYSA-N,(Pyridin-2-yl)methyl acetate,C8H9NO2,151.063328534,3.5e-06,https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID80143464#exposure-predictions,,20,,,0.000371066,Monoisotopic Mass,M,QSAR Model,ND,,ND,,ND,,I,QSAR Model,L,QSAR Model,ND,,I,QSAR Model,ND,,ND,,ND,,ND,,ND,,ND,,ND,,I,QSAR Model,ND,,ND,,I,QSAR Model,M,QSAR Model,False
401,acetaminophen,DTXSID2020006,ESI+,2.6452487137,0.1574458,16,28.07,0.1645,151.0636996,3.0574458,151.0636996,DTXCID90100104,151.063328534,CC1=CC(N)=C(C=C1)C(O)=O,DTXSID30177613,4-Methylanthranilic acid,2305-36-4,RPGKFFKUTVJVPY-UHFFFAOYSA-N,2-Amino-4-methylbenzoic acid,C8H9NO2,151.063328534,2.59e-07,https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID30177613#exposure-predictions,,19,,,0.000371066,Monoisotopic Mass,M,QSAR Model,ND,,ND,,ND,,I,QSAR Model,H,QSAR Model,ND,,I,QSAR Model,ND,,ND,,ND,,ND,,ND,,ND,,ND,,VH,QSAR Model,ND,,ND,,I,QSAR Model,L,QSAR Model,False
401,acetaminophen,DTXSID2020006,ESI+,2.6452487137,0.1574458,16,28.07,0.1645,151.0636996,3.0574458,151.0636996,DTXCID2098952,151.063328534,NC1=CC2=C(OCCO2)C=C1,DTXSID50176461,"1,4-Benzodioxan-6-ylamine",22013-33-8,BZKOZYWGZKRTIB-UHFFFAOYSA-N,"2,3-Dihydro-1,4-benzodioxin-6-amine",C8H9NO2,151.063328534,2.77e-07,https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID50176461#exposure-predictions,,19,,,0.000371066,Monoisotopic Mass,M,QSAR Model,ND,,ND,,ND,,I,QSAR Model,L,QSAR Model,ND,,I,QSAR Model,ND,,ND,,ND,,ND,,ND,,H,Screening,ND,,I,QSAR Model,ND,,ND,,I,QSAR Model,L,QSAR Model,False
401,acetaminophen,DTXSID2020006,ESI+,2.6452487137,0.1574458,16,28.07,0.1645,151.0636996,3.0574458,151.0636996,DTXCID101017445,151.063328534,COC1=CC=C(C=C1)C(N)=O,DTXSID40879434,P-METHYOXYBENZAMIDE,3424-93-9,GUCPYIYFQVTFSI-UHFFFAOYSA-N,4-Methoxybenzamide,C8H9NO2,151.063328534,,,,19,,,0.000371066,Monoisotopic Mass,I,QSAR Model,ND,,ND,,ND,,H,QSAR Model,L,QSAR Model,ND,,L,QSAR Model,ND,,ND,,ND,,ND,,ND,,ND,,ND,,I,QSAR Model,ND,,ND,,I,QSAR Model,ND,,False
401,acetaminophen,DTXSID2020006,ESI+,2.6452487137,0.1574458,16,28.07,0.1645,151.0636996,3.0574458,151.0636996,DTXCID3065954,151.063328534,CC(=O)OCC1=CC=NC=C1,DTXSID20143463,Pyridine-4-methyl acetate,1007-48-3,ZGXKOLGDFWQRMM-UHFFFAOYSA-N,(Pyridin-4-yl)methyl acetate,C8H9NO2,151.063328534,2.56e-06,https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID20143463#exposure-predictions,,18,,,0.000371066,Monoisotopic Mass,I,QSAR Model,ND,,ND,,H,QSAR Model,I,QSAR Model,L,QSAR Model,ND,,I,QSAR Model,ND,,ND,,ND,,ND,,H,QSAR Model,ND,,ND,,I,QSAR Model,ND,,ND,,I,QSAR Model,M,QSAR Model,False
401,acetaminophen,DTXSID2020006,ESI+,2.6452487137,0.1574458,16,28.07,0.1645,151.0636996,3.0574458,151.0636996,DTXCID30125654,151.063328534,COC1=CC=C(NC=O)C=C1,DTXSID30203163,N-(4-Methoxyphenyl)formamide,5470-34-8,SXEVZVMJNXOXIJ-UHFFFAOYSA-N,N-(4-Methoxyphenyl)formamide,C8H9NO2,151.063328534,4.11e-07,https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID30203163#exposure-predictions,,18,,,0.000371066,Monoisotopic Mass,I,QSAR Model,ND,,ND,,ND,,H,QSAR Model,L,QSAR Model,ND,,I,QSAR Model,ND,,ND,,ND,,ND,,ND,,ND,,ND,,I,QSAR Model,ND,,ND,,I,QSAR Model,L,QSAR Model,False
401,acetaminophen,DTXSID2020006,ESI+,2.6452487137,0.1574458,16,28.07,0.1645,151.0636996,3.0574458,151.0636996,DTXCID80118470,151.063328534,CC1=C(C(O)=O)C(N)=CC=C1,DTXSID90195979,6-Methylanthranilic acid,4389-50-8,XHYVBIXKORFHFM-UHFFFAOYSA-N,2-Amino-6-methylbenzoic acid,C8H9NO2,151.063328534,2.79e-07,https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID90195979#exposure-predictions,,18,,,0.000371066,Monoisotopic Mass,I,QSAR Model,ND,,ND,,ND,,I,QSAR Model,L,QSAR Model,ND,,I,QSAR Model,ND,,ND,,ND,,ND,,ND,,ND,,ND,,I,QSAR Model,ND,,ND,,I,QSAR Model,M,QSAR Model,False
401,acetaminophen,DTXSID2020006,ESI+,2.6452487137,0.1574458,16,28.07,0.1645,151.0636996,3.0574458,151.0636996,DTXCID8082123,151.063328534,COC(=O)C1=NC(C)=CC=C1,DTXSID90159632,Methyl 6-methylpyridine-2-carboxylate,13602-11-4,CYWIZMOZBTXFIL-UHFFFAOYSA-N,Methyl 6-methylpyridine-2-carboxylate,C8H9NO2,151.063328534,2.52e-06,https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID90159632#exposure-predictions,,17,,,0.000371066,Monoisotopic Mass,I,QSAR Model,ND,,ND,,ND,,I,QSAR Model,H,QSAR Model,ND,,I,QSAR Model,ND,,ND,,ND,,ND,,H,QSAR Model,ND,,ND,,I,QSAR Model,ND,,ND,,I,QSAR Model,M,QSAR Model,False
